,aclose
2012-04-27,124.5816
2012-05-04,123.4853
2012-05-11,121.6953
2012-05-18,118.4952
2012-05-25,117.5394
2012-06-01,114.3816
2012-06-08,118.0476
2012-06-15,120.4431
2012-06-22,117.1765
2012-06-29,118.3137
2012-07-06,115.7912
2012-07-13,112.5245
2012-07-20,116.4203
2012-07-27,118.8037
2012-08-03,120.0923
2012-08-10,121.0729
2012-08-17,122.2454
2012-08-24,120.1495
2012-08-31,118.3755
2012-09-07,121.2005
2012-09-14,125.6415
2012-09-21,125.1373
2012-09-28,126.0303
2012-10-05,127.9379
2012-10-12,126.2429
2012-10-19,117.4703
2012-10-26,117.4157
2012-11-02,117.5129
2012-11-09,115.7226
2012-11-16,114.075
2012-11-23,118.072
2012-11-30,115.985
2012-12-07,117.1323
2012-12-14,117.0163
2012-12-21,118.0293
2012-12-28,115.8386
2013-01-04,118.3771
2013-01-11,118.6578
2013-01-18,118.67
2013-01-25,125.0774
2013-02-01,125.2055
2013-02-08,123.5901
2013-02-15,123.1612
2013-02-22,123.2286
2013-03-01,124.3439
2013-03-08,128.9215
2013-03-15,131.7036
2013-03-22,129.9633
2013-03-28,130.7109
2013-04-05,128.3271
2013-04-12,129.5343
2013-04-19,116.4326
2013-04-26,119.0738
2013-05-03,125.3243
2013-05-10,125.881
2013-05-17,128.3251
2013-05-24,126.6506
2013-05-31,128.0665
2013-06-07,127.0384
2013-06-14,124.4835
2013-06-21,120.334
2013-06-28,117.656
2013-07-05,120.0077
2013-07-12,118.247
2013-07-19,119.152
2013-07-26,121.4976
2013-08-02,120.1493
2013-08-09,116.2131
2013-08-16,114.6786
2013-08-23,114.7281
2013-08-30,112.779
2013-09-06,113.2493
2013-09-13,118.9046
2013-09-20,117.5743
2013-09-27,115.6562
2013-10-04,113.9113
2013-10-11,115.186
2013-10-18,107.5259
2013-10-25,109.4254
2013-11-01,110.898
2013-11-08,111.9587
2013-11-15,113.9492
2013-11-22,112.7736
2013-11-29,111.7659
2013-12-06,110.5156
2013-12-13,107.4863
2013-12-20,111.9774
2013-12-27,115.1248
2014-01-03,116.0952
2014-01-10,116.4809
2014-01-17,118.2412
2014-01-24,111.741
2014-01-31,109.8998
2014-02-07,110.854
2014-02-14,114.8817
2014-02-21,114.3188
2014-02-28,115.8073
2014-03-07,117.3771
2014-03-14,113.9561
2014-03-21,116.7454
2014-03-28,119.1094
2014-04-04,119.935
2014-04-11,122.0739
2014-04-17,118.8343
2014-04-25,118.5966
2014-05-02,119.7286
2014-05-09,119.5688
2014-05-16,117.6691
2014-05-23,116.9646
2014-05-30,115.9707
2014-06-06,117.2351
2014-06-13,114.8384
2014-06-20,114.2031
2014-06-27,114.3037
2014-07-03,118.5938
2014-07-11,118.2604
2014-07-18,121.0911
2014-07-25,122.2863
2014-08-01,118.9838
2014-08-08,118.093
2014-08-15,118.5676
2014-08-22,120.4849
2014-08-29,121.6808
2014-09-05,120.9848
2014-09-12,121.0354
2014-09-19,122.7565
2014-09-26,120.2634
2014-10-03,119.3839
2014-10-10,117.6501
2014-10-17,115.195
2014-10-24,102.5586
2014-10-31,104.0266
2014-11-07,103.251
2014-11-14,104.5825
2014-11-21,102.5183
2014-11-28,103.3147
2014-12-05,104.0155
2014-12-12,98.9889
2014-12-19,100.983
2014-12-26,103.423
2015-01-02,103.2446
2015-01-09,101.3652
2015-01-16,100.1102
2015-01-23,99.3011
2015-01-30,97.6702
2015-02-06,100.5434
2015-02-13,102.9043
2015-02-20,104.9893
2015-02-27,103.8923
2015-03-06,101.6854
2015-03-13,98.978
2015-03-20,104.4953
